,id,imte1,imte2,imte3,imte4,imte5,safeinform,skillmat,wsituation1,wsituation2,wsituation3,wsituation4,wsituation5,wsituation11,wsituation6,wsituation7,wsituation,wsituation.1,wsituation10,wsituation12,wsituation13,wsituation14,wstat1,wstat2,wstat3,wstat4,wstat5,wstat6,wstat7,emo_manual,asb5,asb6,asb7,disc1,disc5,disc,disc10,disc11,disc6,disc7,disc.1,disc2,disc3,disc4,wtime_con1,wday,wday_week,ctime,wtime_night_a,wtime_sun_a,wtime_sat_a,wtime_long_a,wtime_night2,wtime_night3
49,1000600_2,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2,1,2.0,2.0,1.0,2.0,2.0,1.0,2,2,1,2,2.0,2,2.0,1.0,2,2,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,40.0,0.0,0.0,0.0,0.0,2,2
50,1000619_1,3.0,2.0,2.0,1.0,2.0,4.0,2.0,2,4,2.0,3.0,2.0,2.0,3.0,2.0,4,4,3,3,3.0,4,4.0,3.0,4,4,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1,5,36.0,0.0,0.0,0.0,0.0,2,2
51,1000647_2,3.0,1.0,1.0,2.0,3.0,2.0,2.0,2,2,1.0,2.0,2.0,2.0,2.0,1.0,2,3,2,2,2.0,2,2.0,2.0,1,2,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,6,10.0,0.0,0.0,1.0,0.0,2,2
52,1000657_1,3.0,1.0,1.0,1.0,3.0,1.0,3.0,2,1,1.0,2.0,2.0,1.0,2.0,2.0,2,1,2,2,2.0,2,2.0,1.0,2,1,2.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,40.0,0.0,0.0,0.0,0.0,2,2
53,1000657_2,3.0,2.0,1.0,3.0,2.0,1.0,2.0,2,1,2.0,2.0,1.0,2.0,2.0,2.0,2,2,2,1,2.0,2,2.0,2.0,1,2,2.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,30.0,0.0,0.0,0.0,0.0,2,2
54,1000667_1,3.0,1.0,1.0,2.0,3.0,2.0,2.0,2,2,1.0,2.0,2.0,1.0,2.0,2.0,1,2,2,3,2.0,2,3.0,2.0,2,3,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,6,15.0,0.0,0.0,1.0,0.0,2,2
55,1000667_2,3.0,1.0,1.0,2.0,3.0,1.0,2.0,2,2,3.0,2.0,4.0,2.0,4.0,3.0,2,2,3,4,2.0,3,3.0,2.0,2,3,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,10.0,0.0,0.0,0.0,0.0,2,2
56,1000673_1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,2,2.0,3.0,3.0,3.0,2.0,3.0,2,2,2,3,3.0,3,3.0,2.0,2,3,3.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1,5,0.0,0.0,0.0,1.0,1.0,2,2
57,1000673_2,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3,2,2.0,3.0,2.0,3.0,3.0,3.0,3,3,3,2,3.0,3,3.0,3.0,2,3,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1,5,60.0,0.0,0.0,0.0,0.0,2,2
58,1000674_2,3.0,4.0,3.0,4.0,4.0,1.0,2.0,1,2,1.0,3.0,2.0,1.0,2.0,2.0,2,1,3,3,4.0,3,2.0,2.0,1,5,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1,5,60.0,0.0,0.0,0.0,0.0,2,2
